timestamp,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
2026-02-24T13:05:11.225539,0.0,0.0274,0.0127,0.0939,0.1553,0.1392,0.0,0.0,0.0,0.102,0.0365,0.1971,0.1852,0.0582,0.0595,0.0623,0.0645,0.0353,0.0406,0.2608,0.1601,0.0061,0.0097,0.0,0.0028,0.0063,0.0,0.0023,0.0004,0.0012,0.0015,0.0015,0.0031,0.0028,0.0003,0.0002,0.0027,0.0078,0.539,0.0005,0.0179,0.0023,0.0279,0.012,0.0,0.0,0.0006,0.0007,0.0001,0.0001,0.0,0.0
2026-02-24T13:05:14.192093,0.0,0.0229,0.0104,0.0793,0.1589,0.156,0.0,0.0,0.0,0.1375,0.0392,0.323,0.3303,0.0934,0.0382,0.0415,0.1075,0.0163,0.0199,0.2088,0.1811,0.0049,0.0117,0.0,0.0108,0.0261,0.0,0.0103,0.0033,0.0032,0.0,0.0,0.0028,0.0499,0.0002,0.0001,0.0039,0.0072,0.8251,0.0001,0.1681,0.0521,0.0612,0.0028,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
2026-02-24T13:05:16.996887,0.0,0.0076,0.0073,0.1494,0.3585,0.1325,0.0,0.0,0.0,0.1011,0.0786,0.2032,0.1927,0.0271,0.1258,0.123,0.0344,0.047,0.0398,0.3363,0.2123,0.0082,0.0067,0.0,0.0005,0.0592,0.001,0.0243,0.0004,0.017,0.0003,0.0004,0.0005,0.0001,0.0017,0.0008,0.0049,0.0621,0.1717,0.0498,0.2352,0.1554,0.0222,0.0005,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0
2026-02-24T13:05:22.159072,0.0,0.0413,0.016,0.0203,0.1198,0.1958,0.0,0.0,0.0,0.1969,0.0103,0.2261,0.2348,0.0954,0.0415,0.0476,0.1101,0.0264,0.0464,0.3688,0.1648,0.0032,0.0327,0.0001,0.0052,0.0126,0.0,0.0052,0.0094,0.0006,0.0803,0.1438,0.0005,0.5087,0.0004,0.0009,0.0194,0.0064,0.0264,0.0,0.0982,0.0038,0.0968,0.0106,0.0002,0.0001,0.0018,0.018,0.0003,0.0001,0.0,0.0
