timestamp,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
2026-02-24T13:04:32.929174,0.0,0.0092,0.0042,0.2143,0.2264,0.155,0.0,0.0,0.0,0.1479,0.0748,0.1863,0.1744,0.0381,0.1097,0.0877,0.0348,0.0426,0.0499,0.2512,0.3261,0.0038,0.0065,0.0,0.004,0.0095,0.0,0.0042,0.0006,0.0009,0.0026,0.0021,0.0037,0.003,0.0004,0.0003,0.0034,0.004,0.5319,0.0003,0.0152,0.0023,0.0143,0.0063,0.0,0.0,0.0024,0.0006,0.0,0.0,0.0,0.0
2026-02-24T13:04:37.626780,0.0,0.0513,0.0253,0.0223,0.1226,0.0972,0.0,0.0,0.0,0.0951,0.0249,0.2791,0.2748,0.0053,0.3479,0.3199,0.0104,0.026,0.0246,0.3223,0.1325,0.0094,0.0113,0.0,0.0018,0.0081,0.0,0.0031,0.0007,0.001,0.0009,0.0013,0.0026,0.0026,0.0003,0.0003,0.0047,0.0101,0.32,0.0005,0.0129,0.003,0.0171,0.0109,0.0,0.0,0.0004,0.0015,0.0001,0.0001,0.0,0.0
2026-02-24T13:04:39.762681,0.0,0.0432,0.0198,0.0263,0.1357,0.107,0.0,0.0,0.0,0.1536,0.0294,0.3362,0.3577,0.0074,0.2655,0.272,0.0182,0.0172,0.0178,0.2499,0.1341,0.0056,0.0139,0.0,0.0082,0.0288,0.0001,0.0113,0.0049,0.0031,0.0,0.0,0.0039,0.0691,0.0002,0.0001,0.0044,0.0052,0.8553,0.0001,0.1345,0.0695,0.0488,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24T13:04:41.960640,0.0,0.03,0.0137,0.0806,0.169,0.0851,0.0,0.0,0.0,0.1989,0.1437,0.2732,0.2617,0.0057,0.3479,0.3389,0.0136,0.0368,0.032,0.3851,0.3566,0.0034,0.0043,0.0,0.0015,0.1177,0.0005,0.0502,0.002,0.009,0.0003,0.0004,0.0002,0.0001,0.0009,0.0007,0.0203,0.0295,0.1796,0.0429,0.7528,0.5491,0.0924,0.0008,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0,0.0
2026-02-24T13:04:43.696551,0.0,0.0617,0.0067,0.0717,0.0495,0.1272,0.0,0.0,0.0,0.2125,0.0232,0.2927,0.2387,0.0687,0.081,0.0739,0.0682,0.0269,0.0581,0.2705,0.2674,0.0029,0.0276,0.0,0.0077,0.0366,0.0,0.0084,0.0132,0.0091,0.0132,0.0302,0.0002,0.6932,0.0007,0.0005,0.0226,0.0707,0.0023,0.0,0.3726,0.0536,0.2021,0.0116,0.0003,0.0004,0.0003,0.0219,0.0001,0.0001,0.0,0.0
