timestamp,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
2026-02-24T13:33:50.307405,0.0,0.0149,0.009,0.0987,0.1978,0.1569,0.8011,0.0,0.0,0.0948,0.0438,0.2694,0.2664,0.0286,0.123,0.1288,0.042,0.0296,0.0318,0.2423,0.2264,0.0088,0.0161,0.0,0.0035,0.0022,0.0,0.0003,0.0016,0.0004,0.0016,0.0019,0.0217,0.2579,0.0003,0.0002,0.0004,0.0005,0.0,0.0,0.0046,0.0006,0.0613,0.0997,0.0,0.0,0.0004,0.0007,0.0019,0.0018,0.0,0.0
2026-02-24T13:34:03.440991,0.0,0.0268,0.0147,0.0457,0.1935,0.1336,0.9559,0.0,0.0,0.1003,0.0512,0.2689,0.2731,0.0368,0.0983,0.1059,0.0457,0.0333,0.0299,0.4131,0.2417,0.01,0.0157,0.0,0.0112,0.0213,0.0,0.0083,0.0022,0.0004,0.0001,0.0001,0.0528,0.0163,0.0003,0.0003,0.0004,0.0004,0.0,0.0003,0.0085,0.0039,0.0073,0.0045,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0
2026-02-24T13:34:14.148354,0.0,0.0186,0.0127,0.036,0.2079,0.1381,0.9793,0.0,0.0,0.0966,0.0849,0.3869,0.4066,0.0232,0.1365,0.1547,0.0399,0.0198,0.0114,0.4661,0.2979,0.0115,0.0106,0.0,0.035,0.2339,0.0004,0.0289,0.0086,0.0189,0.0,0.0,0.2993,0.0257,0.0008,0.0007,0.0001,0.0008,0.0,0.001,0.0318,0.0939,0.0025,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-24T13:34:17.771567,0.0,0.0155,0.0154,0.036,0.2408,0.1494,0.9059,0.0,0.0,0.1272,0.0351,0.3073,0.3058,0.0574,0.0651,0.0666,0.0682,0.022,0.0255,0.273,0.2207,0.0072,0.0166,0.0,0.0263,0.0319,0.0,0.01,0.0031,0.0014,0.0,0.0,0.0115,0.0996,0.0005,0.0005,0.0013,0.0014,0.0,0.0001,0.1056,0.0654,0.0101,0.0016,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
2026-02-24T13:34:21.905133,0.0,0.034,0.016,0.0647,0.0884,0.0739,0.0,0.0,0.0,0.1762,0.0169,0.5187,0.4782,0.0081,0.3518,0.3348,0.0092,0.0117,0.0113,0.3398,0.0914,0.0059,0.0216,0.0,0.0013,0.0082,0.0,0.0009,0.1093,0.1034,0.0018,0.0032,0.0,0.1713,0.0001,0.0,0.2388,0.5604,0.0001,0.0,0.2347,0.0754,0.6829,0.0494,0.0288,0.0352,0.0034,0.0176,0.0006,0.0009,0.0,0.0
2026-02-24T13:34:24.373861,0.0,0.028,0.0155,0.0232,0.1513,0.1416,0.0145,0.0,0.0,0.1169,0.0131,0.4285,0.4367,0.0288,0.133,0.133,0.0249,0.0114,0.0116,0.2513,0.0677,0.0078,0.0221,0.0,0.0103,0.0069,0.0,0.0025,0.004,0.0062,0.0,0.0,0.0059,0.1772,0.0002,0.0001,0.0051,0.0067,0.5991,0.0,0.0341,0.0082,0.0396,0.0058,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
